n#1,N#1,n#2,N#2
0,0,0,0
1,22,1,15
2,64,2,71
3,70,3,82
4,100,4,71
5,126,5,108
6,111,6,118
7,126,7,131
8,136,8,138
9,142,9,149
10,193,10,198
11,249,11,266
12,427,12,396
13,370,13,426
14,303,14,310
15,233,15,280
16,223,16,235
17,247,17,233
18,250,18,250
19,248,19,229
20,221,20,219
21,203,21,244
22,243,22,227
23,238,23,260
24,290,24,253
25,306,25,257
26,313,26,288
27,381,27,332
28,419,28,305
29,368,29,257
30,244,30,217
31,213,31,184
32,184,32,180
33,129,33,148
34,139,34,107
35,110,35,114
36,113,36,105
37,91,37,132
38,97,38,107
39,90,39,95
40,87,40,78
41,90,41,104
42,89,42,94
43,91,43,95
44,88,44,73
45,95,45,76
46,84,46,87
47,73,47,93
48,100,48,85
49,74,49,87
50,78,50,84
51,87,51,72
52,94,52,79
53,75,53,73
54,72,54,84
55,62,55,82
56,80,56,83
57,78,57,67
58,80,58,65
59,78,59,62
60,88,60,81
61,77,61,64
62,71,62,69
63,67,63,59
64,70,64,67
65,60,65,62
66,64,66,71
67,82,67,53
68,52,68,62
69,61,69,58
70,68,70,63
71,66,71,67
72,54,72,62
73,66,73,57
74,64,74,60
75,56,75,59
76,59,76,53
77,69,77,65
78,53,78,58
79,57,79,68
80,56,80,57
81,65,81,54
82,62,82,64
83,64,83,58
84,55,84,51
85,55,85,67
86,61,86,60
87,88,87,80
88,76,88,77
89,89,89,95
90,118,90,104
91,101,91,91
92,102,92,82
93,74,93,83
94,49,94,44
95,35,95,50
96,25,96,29
97,9,97,23
98,14,98,24
99,23,99,12
100,13,100,14
101,19,101,16
102,11,102,14
103,11,103,13
104,13,104,20
105,15,105,16
106,11,106,15
107,11,107,12
108,16,108,14
109,14,109,13
110,11,110,13
111,12,111,10
112,14,112,13
113,6,113,15
114,10,114,13
115,17,115,21
116,9,116,8
117,6,117,11
118,15,118,20
119,16,119,14
120,7,120,11
121,10,121,14
122,12,122,12
123,16,123,13
124,12,124,8
125,17,125,19
126,11,126,8
127,8,127,8
128,17,128,10
129,6,129,14
130,13,130,6
131,18,131,7
132,13,132,8
133,12,133,11
134,8,134,12
135,9,135,8
136,13,136,11
137,10,137,15
138,8,138,9
139,11,139,6
140,13,140,13
141,10,141,6
142,11,142,5
143,11,143,12
144,3,144,4
145,14,145,9
146,11,146,6
147,14,147,10
148,11,148,15
149,10,149,14
150,11,150,9
151,9,151,10
152,10,152,5
153,8,153,7
154,11,154,4
155,9,155,8
156,6,156,6
157,7,157,3
158,9,158,8
159,12,159,10
160,7,160,8
161,10,161,5
162,10,162,5
163,5,163,6
164,8,164,9
165,4,165,5
166,8,166,1
167,6,167,4
168,9,168,5
169,6,169,4
170,7,170,4
171,5,171,7
172,5,172,6
173,3,173,4
174,3,174,2
175,4,175,3
176,4,176,5
177,2,177,6
178,2,178,3
179,4,179,2
180,5,180,2
181,5,181,5
182,4,182,9
183,8,183,6
184,9,184,5
185,8,185,6
186,8,186,9
187,6,187,9
188,9,188,19
189,14,189,14
190,6,190,13
191,14,191,13
192,12,192,9
193,8,193,4
194,11,194,12
195,6,195,11
196,6,196,14
197,6,197,4
198,3,198,4
199,3,199,6
200,3,200,1
201,3,201,3
202,2,202,3
203,1,203,3
204,5,204,3
205,2,205,1
206,2,206,2
207,4,207,2
208,2,208,0
209,3,209,2
210,1,210,4
211,2,211,0
212,1,212,1
213,3,213,2
214,5,214,2
215,5,215,3
216,4,216,1
217,5,217,2
218,1,218,2
219,1,219,4
220,1,220,4
221,2,221,3
222,2,222,2
223,2,223,2
224,3,224,4
225,4,225,1
226,1,226,2
227,4,227,5
228,2,228,1
229,0,229,3
230,3,230,2
231,1,231,2
232,1,232,2
233,0,233,1
234,2,234,4
235,0,235,2
236,1,236,2
237,0,237,0
238,1,238,2
239,1,239,0
240,1,240,1
241,2,241,0
242,0,242,2
243,1,243,1
244,2,244,0
245,1,245,0
246,0,246,1
247,0,247,1
248,1,248,1
249,2,249,0
250,3,250,1
251,0,251,0
252,2,252,0
253,2,253,0
254,0,254,1
255,22,255,15
