n#1,N#1,n#2,N#2
0,0,0,0
1,17,1,19
2,35,2,40
3,41,3,35
4,54,4,33
5,53,5,44
6,55,6,58
7,65,7,59
8,75,8,67
9,66,9,69
10,75,10,76
11,124,11,131
12,189,12,181
13,176,13,159
14,142,14,155
15,102,15,101
16,106,16,106
17,124,17,106
18,119,18,100
19,117,19,107
20,102,20,78
21,96,21,90
22,103,22,85
23,108,23,85
24,97,24,92
25,85,25,74
26,91,26,85
27,84,27,81
28,93,28,92
29,89,29,96
30,70,30,70
31,73,31,75
32,82,32,65
33,64,33,48
34,68,34,59
35,68,35,58
36,63,36,55
37,75,37,44
38,62,38,52
39,65,39,73
40,59,40,37
41,56,41,54
42,55,42,54
43,62,43,52
44,62,44,53
45,47,45,56
46,64,46,49
47,60,47,44
48,59,48,56
49,54,49,64
50,58,50,57
51,55,51,70
52,63,52,57
53,65,53,56
54,60,54,47
55,50,55,61
56,52,56,49
57,89,57,68
58,69,58,74
59,70,59,69
60,67,60,65
61,68,61,71
62,82,62,73
63,55,63,56
64,80,64,66
65,62,65,50
66,44,66,39
67,45,67,31
68,59,68,34
69,47,69,58
70,46,70,37
71,46,71,26
72,46,72,34
73,51,73,38
74,54,74,28
75,54,75,26
76,56,76,22
77,56,77,19
78,45,78,17
79,51,79,26
80,44,80,27
81,35,81,28
82,44,82,20
83,33,83,36
84,27,84,31
85,37,85,28
86,67,86,56
87,53,87,67
88,85,88,102
89,141,89,121
90,150,90,130
91,136,91,180
92,125,92,152
93,90,93,96
94,73,94,74
95,54,95,51
96,34,96,35
97,16,97,18
98,8,98,9
99,6,99,6
100,9,100,4
101,3,101,6
102,3,102,3
103,2,103,1
104,6,104,4
105,4,105,7
106,5,106,2
107,7,107,6
108,5,108,1
109,2,109,2
110,5,110,4
111,3,111,4
112,4,112,6
113,3,113,6
114,4,114,4
115,5,115,9
116,6,116,3
117,2,117,2
118,2,118,1
119,9,119,4
120,6,120,9
121,4,121,2
122,5,122,5
123,6,123,3
124,2,124,5
125,7,125,3
126,7,126,1
127,2,127,5
128,6,128,2
129,1,129,4
130,3,130,6
131,9,131,5
132,4,132,3
133,2,133,6
134,3,134,3
135,3,135,1
136,2,136,3
137,6,137,2
138,2,138,0
139,2,139,2
140,3,140,2
141,6,141,3
142,3,142,2
143,3,143,4
144,4,144,1
145,6,145,1
146,4,146,4
147,3,147,4
148,7,148,2
149,2,149,2
150,1,150,5
151,3,151,2
152,1,152,3
153,0,153,2
154,3,154,1
155,3,155,4
156,0,156,6
157,2,157,6
158,4,158,3
159,2,159,4
160,1,160,5
161,5,161,3
162,4,162,1
163,3,163,3
164,1,164,0
165,2,165,1
166,0,166,6
167,2,167,1
168,1,168,0
169,0,169,2
170,0,170,1
171,5,171,1
172,2,172,1
173,1,173,0
174,0,174,0
175,1,175,2
176,1,176,0
177,1,177,2
178,0,178,2
179,0,179,1
180,2,180,1
181,1,181,1
182,4,182,1
183,2,183,4
184,3,184,3
185,5,185,3
186,1,186,2
187,6,187,7
188,4,188,2
189,2,189,5
190,5,190,1
191,2,191,11
192,9,192,4
193,5,193,1
194,6,194,0
195,2,195,4
196,2,196,2
197,3,197,1
198,2,198,2
199,1,199,1
200,1,200,1
201,1,201,0
202,0,202,1
203,0,203,2
204,1,204,0
205,0,205,0
206,1,206,0
207,0,207,1
208,0,208,2
209,0,209,0
210,1,210,0
211,0,211,0
212,2,212,2
213,1,213,0
214,1,214,0
215,0,215,0
216,2,216,0
217,0,217,0
218,0,218,0
219,0,219,2
220,1,220,0
221,1,221,0
222,1,222,0
223,0,223,1
224,0,224,1
225,0,225,2
226,1,226,0
227,1,227,3
228,0,228,1
229,1,229,0
230,0,230,1
231,0,231,1
232,1,232,0
233,0,233,0
234,0,234,1
235,1,235,0
236,1,236,0
237,0,237,1
238,1,238,1
239,0,239,0
240,0,240,0
241,0,241,2
242,1,242,0
243,0,243,0
244,0,244,2
245,1,245,0
246,0,246,1
247,0,247,0
248,0,248,0
249,0,249,0
250,0,250,0
251,1,251,0
252,0,252,1
253,0,253,2
254,0,254,2
255,15,255,6
