n#1,N#1,n#2,N#2
0,0,0,0
1,7,1,11
2,21,2,21
3,18,3,24
4,35,4,30
5,32,5,34
6,41,6,37
7,45,7,61
8,62,8,54
9,62,9,54
10,79,10,70
11,119,11,96
12,188,12,165
13,173,13,170
14,156,14,128
15,115,15,103
16,129,16,85
17,101,17,91
18,92,18,82
19,109,19,98
20,85,20,92
21,116,21,88
22,76,22,83
23,91,23,82
24,66,24,82
25,70,25,69
26,81,26,68
27,70,27,52
28,54,28,58
29,64,29,52
30,56,30,51
31,52,31,68
32,49,32,47
33,52,33,57
34,53,34,46
35,52,35,46
36,51,36,38
37,53,37,42
38,60,38,50
39,64,39,59
40,60,40,48
41,69,41,65
42,62,42,44
43,58,43,39
44,68,44,33
45,52,45,47
46,53,46,36
47,48,47,33
48,53,48,29
49,40,49,33
50,27,50,27
51,39,51,20
52,36,52,25
53,23,53,28
54,29,54,24
55,22,55,30
56,18,56,21
57,15,57,21
58,34,58,17
59,17,59,14
60,22,60,25
61,27,61,24
62,18,62,19
63,21,63,26
64,25,64,21
65,17,65,11
66,19,66,19
67,15,67,16
68,19,68,16
69,14,69,14
70,13,70,21
71,14,71,26
72,15,72,16
73,23,73,22
74,16,74,13
75,15,75,18
76,20,76,11
77,17,77,13
78,15,78,11
79,12,79,9
80,23,80,23
81,16,81,22
82,14,82,9
83,13,83,21
84,12,84,15
85,15,85,12
86,18,86,12
87,15,87,15
88,16,88,21
89,24,89,31
90,20,90,15
91,30,91,31
92,22,92,14
93,21,93,20
94,11,94,16
95,19,95,13
96,7,96,9
97,7,97,11
98,3,98,8
99,6,99,8
100,9,100,9
101,11,101,9
102,6,102,6
103,9,103,9
104,11,104,6
105,7,105,9
106,7,106,5
107,10,107,9
108,4,108,5
109,7,109,8
110,5,110,9
111,11,111,8
112,8,112,7
113,6,113,4
114,6,114,9
115,6,115,6
116,10,116,7
117,5,117,7
118,9,118,4
119,7,119,8
120,5,120,5
121,5,121,6
122,4,122,6
123,9,123,5
124,4,124,4
125,8,125,5
126,9,126,11
127,3,127,5
128,8,128,6
129,4,129,7
130,7,130,6
131,6,131,8
132,2,132,8
133,4,133,2
134,5,134,3
135,5,135,3
136,3,136,5
137,8,137,8
138,2,138,6
139,0,139,4
140,7,140,6
141,2,141,7
142,4,142,1
143,4,143,6
144,5,144,4
145,5,145,3
146,2,146,5
147,3,147,1
148,6,148,3
149,5,149,3
150,6,150,5
151,2,151,1
152,2,152,4
153,6,153,5
154,2,154,3
155,5,155,3
156,5,156,3
157,3,157,3
158,5,158,2
159,4,159,0
160,2,160,3
161,2,161,2
162,5,162,9
163,5,163,3
164,5,164,2
165,5,165,3
166,5,166,5
167,1,167,4
168,1,168,3
169,0,169,1
170,2,170,5
171,3,171,2
172,3,172,1
173,1,173,3
174,2,174,1
175,3,175,0
176,3,176,1
177,2,177,2
178,4,178,0
179,2,179,4
180,2,180,2
181,1,181,2
182,4,182,2
183,0,183,0
184,2,184,5
185,2,185,6
186,3,186,5
187,2,187,3
188,8,188,4
189,5,189,6
190,7,190,5
191,3,191,5
192,4,192,4
193,4,193,3
194,4,194,6
195,2,195,3
196,4,196,1
197,3,197,1
198,1,198,0
199,0,199,2
200,0,200,2
201,1,201,2
202,0,202,1
203,1,203,1
204,4,204,2
205,1,205,2
206,2,206,0
207,0,207,3
208,1,208,1
209,1,209,0
210,0,210,1
211,0,211,0
212,1,212,0
213,1,213,0
214,2,214,1
215,1,215,0
216,0,216,1
217,0,217,1
218,0,218,0
219,1,219,0
220,3,220,0
221,0,221,0
222,2,222,2
223,4,223,1
224,2,224,0
225,0,225,0
226,0,226,2
227,0,227,1
228,1,228,2
229,0,229,0
230,1,230,1
231,1,231,1
232,1,232,0
233,0,233,2
234,0,234,0
235,1,235,0
236,0,236,0
237,2,237,0
238,1,238,0
239,1,239,0
240,1,240,0
241,1,241,2
242,2,242,0
243,0,243,0
244,0,244,1
245,2,245,0
246,0,246,0
247,0,247,0
248,1,248,1
249,0,249,1
250,0,250,0
251,0,251,1
252,0,252,1
253,3,253,0
254,1,254,0
255,9,255,7
