n#1,N#1,n#2,N#2
0,0,0,0
1,147,1,165
2,412,2,430
3,503,3,536
4,597,4,632
5,1609,5,1704
6,1673,6,1614
7,856,7,881
8,790,8,745
9,749,9,805
10,830,10,850
11,947,11,952
12,1398,12,1374
13,1261,13,1383
14,1088,14,1052
15,952,15,948
16,872,16,895
17,907,17,880
18,921,18,887
19,910,19,908
20,923,20,888
21,976,21,880
22,883,22,880
23,875,23,935
24,889,24,913
25,910,25,937
26,1007,26,1027
27,1112,27,1117
28,1115,28,1110
29,1085,29,1010
30,1023,30,1063
31,1048,31,951
32,980,32,1005
33,952,33,965
34,885,34,906
35,883,35,940
36,841,36,891
37,933,37,910
38,877,38,916
39,840,39,895
40,956,40,880
41,897,41,864
42,918,42,887
43,910,43,857
44,903,44,908
45,876,45,864
46,843,46,876
47,899,47,875
48,896,48,926
49,913,49,886
50,880,50,874
51,918,51,813
52,896,52,929
53,915,53,890
54,925,54,948
55,910,55,895
56,921,56,946
57,938,57,923
58,930,58,946
59,942,59,958
60,930,60,958
61,907,61,905
62,909,62,863
63,885,63,875
64,803,64,892
65,710,65,702
66,671,66,640
67,572,67,603
68,511,68,490
69,461,69,436
70,388,70,487
71,409,71,406
72,404,72,448
73,394,73,416
74,377,74,394
75,381,75,396
76,393,76,373
77,355,77,389
78,376,78,353
79,370,79,339
80,330,80,381
81,356,81,336
82,367,82,356
83,395,83,358
84,457,84,418
85,624,85,563
86,994,86,884
87,1593,87,1535
88,2431,88,2365
89,3427,89,3463
90,4346,90,4344
91,4782,91,4779
92,4777,92,4821
93,4028,93,4014
94,2937,94,2986
95,1906,95,1950
96,1045,96,1062
97,463,97,525
98,160,98,229
99,53,99,72
100,20,100,35
101,9,101,11
102,8,102,8
103,8,103,7
104,5,104,5
105,6,105,6
106,5,106,3
107,3,107,3
108,2,108,1
109,4,109,3
110,5,110,5
111,8,111,7
112,3,112,11
113,2,113,4
114,6,114,9
115,0,115,5
116,3,116,1
117,6,117,4
118,6,118,5
119,2,119,4
120,4,120,4
121,4,121,2
122,5,122,1
123,1,123,5
124,5,124,2
125,1,125,5
126,3,126,3
127,6,127,0
128,3,128,3
129,4,129,4
130,4,130,1
131,5,131,4
132,2,132,1
133,4,133,3
134,1,134,4
135,1,135,4
136,2,136,3
137,1,137,5
138,3,138,5
139,0,139,4
140,4,140,5
141,3,141,2
142,4,142,3
143,0,143,3
144,1,144,2
145,1,145,2
146,3,146,2
147,1,147,1
148,6,148,4
149,4,149,3
150,0,150,1
151,4,151,4
152,2,152,1
153,2,153,0
154,6,154,1
155,3,155,1
156,1,156,2
157,4,157,3
158,1,158,2
159,3,159,3
160,2,160,3
161,0,161,2
162,2,162,2
163,2,163,0
164,0,164,4
165,6,165,1
166,3,166,3
167,1,167,2
168,1,168,3
169,2,169,1
170,2,170,3
171,1,171,4
172,1,172,1
173,0,173,1
174,2,174,1
175,1,175,0
176,1,176,1
177,2,177,0
178,0,178,0
179,2,179,2
180,0,180,1
181,1,181,1
182,2,182,2
183,1,183,2
184,3,184,0
185,6,185,6
186,3,186,1
187,1,187,4
188,5,188,1
189,1,189,4
190,7,190,5
191,6,191,6
192,2,192,3
193,5,193,4
194,1,194,2
195,1,195,1
196,2,196,2
197,0,197,0
198,2,198,2
199,0,199,1
200,3,200,2
201,0,201,2
202,0,202,1
203,0,203,0
204,0,204,1
205,0,205,1
206,1,206,1
207,2,207,2
208,0,208,0
209,1,209,0
210,1,210,0
211,0,211,0
212,1,212,0
213,1,213,0
214,1,214,1
215,0,215,0
216,0,216,0
217,0,217,0
218,1,218,0
219,0,219,1
220,0,220,1
221,1,221,0
222,1,222,0
223,0,223,1
224,0,224,0
225,3,225,0
226,0,226,1
227,0,227,1
228,0,228,1
229,0,229,0
230,0,230,3
231,0,231,0
232,0,232,0
233,1,233,0
234,1,234,0
235,1,235,1
236,0,236,0
237,0,237,1
238,0,238,2
239,0,239,0
240,0,240,1
241,4,241,1
242,0,242,0
243,2,243,0
244,0,244,0
245,0,245,0
246,1,246,0
247,0,247,0
248,1,248,2
249,1,249,0
250,1,250,0
251,0,251,0
252,0,252,0
253,0,253,0
254,0,254,1
255,4,255,2
