n#1,N#1,n#2,N#2
0,0,0,0
1,16,1,11
2,35,2,37
3,34,3,42
4,47,4,40
5,52,5,49
6,62,6,47
7,70,7,57
8,65,8,47
9,74,9,69
10,102,10,99
11,127,11,123
12,237,12,220
13,176,13,184
14,143,14,147
15,148,15,99
16,114,16,118
17,140,17,122
18,127,18,126
19,118,19,105
20,126,20,83
21,104,21,110
22,120,22,96
23,109,23,97
24,69,24,86
25,109,25,90
26,86,26,72
27,86,27,70
28,77,28,54
29,70,29,68
30,72,30,60
31,66,31,63
32,73,32,60
33,54,33,53
34,72,34,56
35,50,35,55
36,56,36,50
37,67,37,35
38,58,38,54
39,57,39,44
40,49,40,58
41,48,41,47
42,55,42,42
43,44,43,66
44,62,44,50
45,54,45,46
46,59,46,55
47,49,47,77
48,55,48,52
49,77,49,73
50,70,50,79
51,79,51,81
52,73,52,75
53,78,53,65
54,73,54,56
55,50,55,43
56,61,56,52
57,57,57,35
58,70,58,39
59,65,59,32
60,62,60,35
61,77,61,35
62,65,62,33
63,57,63,29
64,56,64,17
65,45,65,26
66,35,66,17
67,44,67,23
68,31,68,44
69,31,69,22
70,37,70,25
71,36,71,27
72,25,72,22
73,33,73,32
74,27,74,33
75,26,75,26
76,24,76,18
77,25,77,26
78,20,78,20
79,14,79,21
80,24,80,23
81,21,81,18
82,25,82,29
83,24,83,19
84,21,84,33
85,34,85,27
86,26,86,33
87,38,87,34
88,37,88,38
89,37,89,47
90,45,90,46
91,44,91,44
92,36,92,42
93,35,93,28
94,21,94,21
95,14,95,18
96,11,96,14
97,9,97,5
98,5,98,9
99,9,99,9
100,9,100,7
101,11,101,9
102,8,102,6
103,10,103,4
104,9,104,6
105,15,105,6
106,8,106,6
107,9,107,6
108,1,108,3
109,4,109,9
110,10,110,8
111,7,111,8
112,4,112,5
113,11,113,5
114,8,114,4
115,7,115,4
116,9,116,8
117,4,117,3
118,6,118,9
119,4,119,8
120,2,120,4
121,4,121,7
122,6,122,8
123,4,123,4
124,5,124,9
125,8,125,10
126,3,126,11
127,11,127,2
128,6,128,7
129,6,129,8
130,5,130,5
131,4,131,4
132,5,132,3
133,3,133,5
134,8,134,3
135,9,135,0
136,6,136,5
137,5,137,3
138,6,138,5
139,3,139,4
140,2,140,2
141,6,141,5
142,4,142,4
143,2,143,4
144,7,144,5
145,6,145,2
146,6,146,5
147,9,147,5
148,2,148,2
149,0,149,3
150,0,150,4
151,2,151,7
152,2,152,5
153,6,153,4
154,5,154,4
155,1,155,3
156,3,156,7
157,2,157,1
158,5,158,4
159,6,159,4
160,1,160,1
161,2,161,4
162,4,162,3
163,2,163,3
164,2,164,3
165,5,165,4
166,4,166,2
167,0,167,5
168,2,168,2
169,4,169,3
170,2,170,1
171,0,171,1
172,0,172,1
173,0,173,2
174,1,174,2
175,4,175,1
176,3,176,2
177,2,177,4
178,2,178,2
179,4,179,2
180,1,180,3
181,3,181,2
182,1,182,7
183,2,183,0
184,7,184,6
185,4,185,4
186,1,186,5
187,5,187,8
188,4,188,6
189,5,189,4
190,6,190,5
191,6,191,8
192,6,192,11
193,5,193,3
194,4,194,8
195,5,195,4
196,2,196,2
197,1,197,2
198,2,198,0
199,3,199,2
200,2,200,1
201,2,201,2
202,0,202,2
203,2,203,0
204,2,204,1
205,0,205,0
206,2,206,3
207,1,207,2
208,2,208,2
209,2,209,2
210,0,210,0
211,1,211,0
212,1,212,1
213,0,213,1
214,2,214,0
215,0,215,1
216,2,216,0
217,0,217,0
218,0,218,0
219,0,219,0
220,1,220,1
221,3,221,1
222,0,222,1
223,0,223,3
224,0,224,2
225,0,225,0
226,0,226,1
227,0,227,1
228,0,228,1
229,1,229,0
230,1,230,1
231,0,231,0
232,3,232,0
233,1,233,1
234,0,234,0
235,0,235,1
236,1,236,2
237,0,237,2
238,0,238,1
239,0,239,1
240,0,240,0
241,0,241,1
242,0,242,0
243,1,243,1
244,0,244,1
245,0,245,0
246,0,246,1
247,1,247,0
248,0,248,0
249,1,249,1
250,0,250,0
251,0,251,1
252,1,252,0
253,0,253,0
254,0,254,0
255,9,255,10
