n#1,N#1,n#2,N#2
0,0,0,0
1,6,1,8
2,22,2,36
3,39,3,35
4,44,4,48
5,53,5,56
6,59,6,62
7,57,7,69
8,67,8,70
9,83,9,73
10,116,10,110
11,130,11,142
12,206,12,220
13,220,13,237
14,162,14,170
15,137,15,140
16,129,16,123
17,146,17,136
18,118,18,118
19,143,19,126
20,112,20,114
21,134,21,103
22,122,22,111
23,105,23,92
24,107,24,88
25,78,25,87
26,89,26,81
27,64,27,82
28,83,28,73
29,91,29,51
30,67,30,80
31,77,31,56
32,83,32,69
33,76,33,70
34,74,34,72
35,85,35,87
36,114,36,90
37,95,37,85
38,111,38,70
39,108,39,78
40,108,40,66
41,113,41,56
42,87,42,60
43,92,43,35
44,63,44,45
45,67,45,44
46,53,46,49
47,48,47,37
48,50,48,40
49,33,49,33
50,29,50,42
51,43,51,41
52,43,52,27
53,32,53,34
54,30,54,24
55,25,55,30
56,32,56,24
57,23,57,31
58,34,58,25
59,28,59,35
60,34,60,33
61,17,61,26
62,21,62,29
63,21,63,30
64,36,64,24
65,22,65,33
66,19,66,24
67,24,67,34
68,24,68,20
69,20,69,34
70,27,70,24
71,21,71,19
72,23,72,23
73,19,73,18
74,18,74,17
75,24,75,25
76,21,76,18
77,19,77,20
78,23,78,16
79,15,79,23
80,16,80,14
81,23,81,14
82,18,82,17
83,16,83,16
84,30,84,14
85,20,85,14
86,18,86,20
87,14,87,24
88,30,88,24
89,17,89,27
90,36,90,24
91,35,91,30
92,32,92,26
93,22,93,25
94,17,94,18
95,19,95,18
96,9,96,12
97,13,97,10
98,12,98,8
99,12,99,12
100,9,100,14
101,5,101,8
102,7,102,10
103,4,103,9
104,10,104,11
105,9,105,7
106,9,106,9
107,6,107,5
108,9,108,9
109,5,109,11
110,10,110,4
111,10,111,13
112,8,112,7
113,8,113,2
114,9,114,8
115,12,115,10
116,8,116,4
117,4,117,8
118,7,118,7
119,4,119,7
120,4,120,6
121,9,121,7
122,8,122,7
123,6,123,8
124,15,124,8
125,6,125,8
126,7,126,9
127,7,127,10
128,6,128,3
129,8,129,6
130,7,130,4
131,10,131,7
132,13,132,8
133,4,133,6
134,3,134,7
135,7,135,8
136,10,136,7
137,8,137,12
138,5,138,8
139,7,139,6
140,8,140,8
141,3,141,6
142,3,142,6
143,3,143,6
144,7,144,8
145,4,145,6
146,6,146,4
147,11,147,7
148,4,148,11
149,8,149,6
150,7,150,6
151,6,151,6
152,9,152,9
153,2,153,5
154,3,154,6
155,7,155,6
156,8,156,6
157,5,157,4
158,5,158,8
159,2,159,8
160,4,160,7
161,1,161,2
162,4,162,4
163,6,163,7
164,3,164,2
165,2,165,5
166,7,166,5
167,1,167,4
168,2,168,3
169,1,169,1
170,4,170,5
171,2,171,3
172,1,172,4
173,4,173,0
174,0,174,4
175,1,175,5
176,1,176,0
177,2,177,4
178,4,178,5
179,1,179,3
180,2,180,2
181,2,181,4
182,2,182,2
183,4,183,3
184,2,184,2
185,1,185,3
186,4,186,6
187,4,187,4
188,16,188,5
189,5,189,6
190,6,190,9
191,6,191,9
192,8,192,5
193,8,193,9
194,2,194,5
195,2,195,2
196,6,196,5
197,1,197,2
198,4,198,2
199,0,199,2
200,4,200,1
201,1,201,3
202,1,202,0
203,0,203,1
204,1,204,1
205,1,205,1
206,2,206,2
207,1,207,0
208,1,208,2
209,3,209,0
210,2,210,2
211,1,211,2
212,1,212,2
213,0,213,0
214,0,214,0
215,1,215,1
216,0,216,0
217,1,217,1
218,0,218,1
219,2,219,2
220,1,220,0
221,0,221,0
222,2,222,0
223,2,223,2
224,1,224,3
225,1,225,0
226,0,226,1
227,0,227,2
228,2,228,1
229,0,229,2
230,1,230,2
231,3,231,1
232,0,232,3
233,1,233,0
234,1,234,1
235,2,235,0
236,1,236,0
237,0,237,0
238,0,238,0
239,0,239,0
240,0,240,1
241,0,241,1
242,2,242,0
243,1,243,0
244,0,244,1
245,0,245,1
246,1,246,0
247,1,247,0
248,0,248,1
249,1,249,0
250,1,250,1
251,0,251,1
252,1,252,0
253,1,253,0
254,0,254,1
255,9,255,10
