n#1,N#1,n#2,N#2
0,0,0,0
1,12,1,17
2,44,2,43
3,37,3,49
4,75,4,60
5,80,5,81
6,68,6,83
7,89,7,88
8,105,8,119
9,135,9,110
10,124,10,141
11,206,11,214
12,310,12,306
13,310,13,289
14,236,14,247
15,212,15,225
16,199,16,189
17,176,17,168
18,205,18,193
19,204,19,208
20,206,20,192
21,201,21,169
22,185,22,184
23,199,23,181
24,209,24,160
25,209,25,191
26,216,26,200
27,213,27,194
28,260,28,197
29,250,29,220
30,262,30,172
31,243,31,165
32,175,32,144
33,120,33,133
34,117,34,114
35,110,35,78
36,92,36,82
37,83,37,78
38,67,38,54
39,70,39,67
40,58,40,66
41,64,41,62
42,53,42,47
43,39,43,42
44,52,44,60
45,52,45,59
46,41,46,50
47,56,47,55
48,50,48,48
49,47,49,56
50,38,50,50
51,42,51,44
52,46,52,41
53,47,53,34
54,49,54,43
55,37,55,26
56,39,56,45
57,40,57,41
58,32,58,35
59,48,59,50
60,37,60,35
61,40,61,53
62,33,62,41
63,30,63,36
64,42,64,35
65,29,65,44
66,50,66,30
67,26,67,25
68,32,68,30
69,35,69,37
70,41,70,27
71,28,71,42
72,31,72,40
73,31,73,22
74,39,74,30
75,30,75,27
76,17,76,32
77,33,77,24
78,21,78,33
79,36,79,29
80,35,80,25
81,31,81,26
82,42,82,26
83,31,83,36
84,46,84,26
85,33,85,19
86,37,86,43
87,40,87,43
88,37,88,38
89,41,89,35
90,44,90,49
91,35,91,48
92,36,92,39
93,39,93,34
94,27,94,32
95,18,95,20
96,24,96,16
97,12,97,13
98,10,98,14
99,14,99,15
100,10,100,14
101,19,101,12
102,12,102,15
103,18,103,13
104,17,104,7
105,11,105,20
106,16,106,15
107,9,107,14
108,14,108,14
109,20,109,14
110,18,110,15
111,14,111,13
112,12,112,14
113,8,113,15
114,17,114,16
115,9,115,11
116,15,116,11
117,13,117,12
118,13,118,11
119,10,119,8
120,11,120,12
121,11,121,6
122,10,122,9
123,12,123,16
124,7,124,7
125,5,125,9
126,13,126,14
127,12,127,7
128,10,128,7
129,10,129,10
130,10,130,9
131,6,131,9
132,10,132,15
133,4,133,6
134,14,134,6
135,16,135,9
136,10,136,7
137,8,137,9
138,5,138,10
139,10,139,7
140,8,140,5
141,8,141,9
142,5,142,9
143,12,143,14
144,11,144,9
145,6,145,12
146,5,146,14
147,11,147,7
148,8,148,13
149,7,149,9
150,8,150,7
151,7,151,12
152,4,152,5
153,13,153,7
154,5,154,7
155,7,155,11
156,8,156,8
157,7,157,5
158,8,158,7
159,5,159,2
160,9,160,6
161,7,161,9
162,10,162,9
163,7,163,5
164,7,164,3
165,1,165,8
166,6,166,5
167,3,167,4
168,2,168,8
169,7,169,8
170,2,170,4
171,5,171,4
172,4,172,4
173,5,173,3
174,7,174,3
175,3,175,2
176,4,176,4
177,1,177,6
178,6,178,3
179,3,179,7
180,4,180,5
181,3,181,3
182,7,182,5
183,9,183,5
184,8,184,4
185,7,185,7
186,11,186,11
187,8,187,13
188,5,188,9
189,13,189,10
190,7,190,10
191,10,191,12
192,11,192,18
193,7,193,10
194,6,194,8
195,6,195,9
196,8,196,5
197,2,197,2
198,1,198,4
199,3,199,6
200,5,200,2
201,2,201,1
202,3,202,3
203,3,203,0
204,2,204,1
205,2,205,3
206,2,206,3
207,2,207,1
208,1,208,2
209,3,209,1
210,2,210,0
211,2,211,3
212,3,212,4
213,2,213,2
214,3,214,0
215,1,215,1
216,2,216,1
217,3,217,4
218,3,218,1
219,2,219,2
220,2,220,1
221,4,221,2
222,1,222,2
223,1,223,2
224,1,224,3
225,0,225,1
226,0,226,5
227,1,227,2
228,3,228,2
229,1,229,0
230,2,230,3
231,4,231,0
232,3,232,0
233,0,233,1
234,0,234,1
235,1,235,2
236,4,236,1
237,1,237,4
238,0,238,0
239,0,239,1
240,2,240,1
241,0,241,1
242,2,242,4
243,0,243,1
244,1,244,1
245,1,245,0
246,1,246,1
247,2,247,0
248,4,248,1
249,0,249,1
250,2,250,1
251,1,251,1
252,1,252,2
253,2,253,2
254,2,254,2
255,16,255,21
