n#1,N#1,n#2,N#2
0,0,0,0
1,7,1,9
2,30,2,27
3,25,3,27
4,39,4,27
5,53,5,38
6,45,6,46
7,53,7,50
8,58,8,46
9,65,9,46
10,92,10,66
11,114,11,117
12,175,12,197
13,154,13,149
14,143,14,146
15,131,15,118
16,110,16,102
17,83,17,92
18,108,18,100
19,123,19,96
20,86,20,77
21,102,21,86
22,104,22,77
23,91,23,79
24,71,24,70
25,74,25,52
26,82,26,73
27,75,27,55
28,62,28,53
29,63,29,67
30,43,30,56
31,56,31,57
32,68,32,64
33,64,33,50
34,49,34,38
35,46,35,46
36,56,36,35
37,60,37,44
38,70,38,51
39,69,39,51
40,68,40,47
41,64,41,69
42,68,42,67
43,65,43,61
44,69,44,70
45,67,45,50
46,48,46,56
47,70,47,40
48,61,48,42
49,57,49,34
50,43,50,24
51,52,51,25
52,46,52,24
53,49,53,29
54,37,54,28
55,42,55,29
56,34,56,26
57,37,57,29
58,27,58,35
59,25,59,23
60,29,60,28
61,21,61,26
62,13,62,18
63,15,63,29
64,21,64,21
65,23,65,15
66,22,66,21
67,17,67,18
68,13,68,14
69,15,69,24
70,21,70,17
71,25,71,25
72,18,72,15
73,20,73,11
74,22,74,13
75,14,75,18
76,20,76,17
77,14,77,17
78,16,78,16
79,21,79,21
80,14,80,19
81,15,81,8
82,13,82,18
83,19,83,16
84,14,84,17
85,8,85,30
86,12,86,15
87,19,87,14
88,15,88,13
89,19,89,23
90,27,90,29
91,17,91,39
92,33,92,28
93,18,93,24
94,23,94,14
95,13,95,14
96,11,96,15
97,9,97,6
98,4,98,8
99,11,99,11
100,8,100,9
101,4,101,4
102,6,102,3
103,7,103,6
104,14,104,5
105,6,105,5
106,3,106,6
107,3,107,5
108,11,108,8
109,8,109,11
110,5,110,7
111,8,111,6
112,10,112,6
113,3,113,4
114,9,114,3
115,5,115,7
116,7,116,4
117,4,117,5
118,2,118,12
119,6,119,6
120,2,120,5
121,3,121,3
122,5,122,4
123,7,123,5
124,7,124,7
125,9,125,6
126,4,126,6
127,7,127,2
128,4,128,7
129,8,129,5
130,5,130,5
131,7,131,6
132,5,132,5
133,6,133,4
134,4,134,3
135,4,135,6
136,5,136,3
137,5,137,7
138,3,138,8
139,2,139,6
140,4,140,5
141,2,141,1
142,4,142,6
143,4,143,10
144,3,144,4
145,6,145,1
146,8,146,7
147,5,147,4
148,3,148,10
149,4,149,5
150,8,150,7
151,6,151,4
152,8,152,4
153,3,153,3
154,8,154,4
155,3,155,3
156,8,156,3
157,3,157,5
158,4,158,2
159,4,159,5
160,4,160,2
161,4,161,1
162,1,162,5
163,6,163,6
164,5,164,1
165,8,165,2
166,2,166,5
167,3,167,2
168,0,168,2
169,1,169,2
170,3,170,2
171,2,171,1
172,0,172,2
173,1,173,2
174,1,174,2
175,3,175,3
176,0,176,0
177,2,177,5
178,1,178,4
179,4,179,1
180,4,180,6
181,4,181,3
182,2,182,1
183,0,183,2
184,0,184,1
185,4,185,0
186,2,186,4
187,4,187,5
188,5,188,9
189,7,189,9
190,8,190,5
191,7,191,6
192,8,192,6
193,5,193,5
194,5,194,4
195,3,195,2
196,2,196,5
197,3,197,1
198,1,198,1
199,1,199,1
200,0,200,3
201,1,201,1
202,2,202,1
203,3,203,0
204,2,204,1
205,1,205,1
206,3,206,1
207,0,207,1
208,0,208,3
209,3,209,0
210,1,210,3
211,3,211,0
212,0,212,1
213,1,213,2
214,2,214,0
215,1,215,0
216,0,216,0
217,1,217,0
218,0,218,1
219,2,219,1
220,1,220,1
221,1,221,3
222,1,222,1
223,0,223,2
224,1,224,0
225,0,225,0
226,0,226,1
227,1,227,2
228,0,228,0
229,1,229,0
230,0,230,2
231,1,231,0
232,0,232,0
233,1,233,0
234,0,234,0
235,1,235,0
236,2,236,2
237,0,237,2
238,0,238,1
239,0,239,0
240,0,240,2
241,1,241,0
242,3,242,0
243,0,243,0
244,1,244,2
245,0,245,2
246,0,246,0
247,0,247,1
248,0,248,0
249,0,249,1
250,0,250,0
251,0,251,1
252,1,252,0
253,1,253,0
254,0,254,1
255,8,255,8
