n#1,N#1,n#2,N#2
0,0,0,0
1,15,1,10
2,28,2,25
3,33,3,25
4,48,4,41
5,54,5,53
6,60,6,37
7,62,7,57
8,56,8,47
9,60,9,55
10,71,10,66
11,109,11,117
12,182,12,170
13,158,13,178
14,138,14,156
15,95,15,110
16,116,16,106
17,92,17,98
18,108,18,96
19,94,19,94
20,99,20,99
21,102,21,81
22,93,22,85
23,95,23,93
24,70,24,78
25,80,25,64
26,78,26,60
27,76,27,50
28,62,28,65
29,56,29,61
30,65,30,51
31,58,31,60
32,54,32,58
33,44,33,39
34,52,34,44
35,55,35,48
36,57,36,53
37,46,37,37
38,52,38,53
39,47,39,40
40,50,40,34
41,46,41,45
42,54,42,46
43,53,43,58
44,51,44,59
45,48,45,68
46,51,46,54
47,65,47,70
48,71,48,73
49,54,49,57
50,53,50,53
51,54,51,31
52,40,52,36
53,67,53,33
54,68,54,29
55,58,55,36
56,54,56,24
57,36,57,36
58,45,58,18
59,56,59,39
60,39,60,34
61,23,61,36
62,30,62,19
63,12,63,25
64,39,64,20
65,28,65,20
66,16,66,20
67,23,67,18
68,29,68,33
69,31,69,18
70,19,70,18
71,35,71,15
72,21,72,29
73,24,73,16
74,31,74,18
75,20,75,22
76,19,76,17
77,14,77,19
78,23,78,21
79,23,79,19
80,19,80,21
81,20,81,17
82,20,82,11
83,17,83,24
84,20,84,19
85,15,85,19
86,28,86,15
87,24,87,22
88,25,88,41
89,26,89,32
90,34,90,21
91,27,91,27
92,25,92,28
93,25,93,19
94,13,94,26
95,17,95,8
96,9,96,9
97,8,97,12
98,9,98,10
99,6,99,10
100,9,100,5
101,9,101,6
102,3,102,10
103,9,103,9
104,7,104,2
105,11,105,3
106,6,106,4
107,9,107,6
108,5,108,12
109,8,109,6
110,5,110,2
111,5,111,5
112,5,112,10
113,6,113,4
114,9,114,10
115,5,115,4
116,4,116,9
117,8,117,8
118,7,118,7
119,7,119,5
120,4,120,5
121,9,121,2
122,3,122,6
123,4,123,3
124,6,124,7
125,7,125,4
126,6,126,3
127,5,127,4
128,5,128,3
129,5,129,4
130,5,130,5
131,4,131,4
132,4,132,6
133,6,133,8
134,3,134,5
135,8,135,4
136,5,136,5
137,2,137,3
138,4,138,4
139,5,139,6
140,3,140,3
141,1,141,5
142,3,142,3
143,5,143,3
144,1,144,5
145,6,145,1
146,4,146,4
147,3,147,4
148,2,148,5
149,9,149,3
150,4,150,6
151,5,151,4
152,5,152,8
153,3,153,9
154,7,154,4
155,3,155,2
156,4,156,1
157,3,157,8
158,1,158,6
159,5,159,4
160,3,160,3
161,2,161,3
162,0,162,2
163,2,163,2
164,6,164,1
165,4,165,3
166,2,166,2
167,1,167,5
168,1,168,2
169,2,169,3
170,4,170,4
171,4,171,0
172,0,172,3
173,4,173,0
174,0,174,3
175,2,175,2
176,2,176,0
177,3,177,0
178,0,178,6
179,5,179,1
180,3,180,1
181,2,181,3
182,1,182,0
183,2,183,1
184,5,184,3
185,5,185,2
186,2,186,2
187,6,187,8
188,3,188,4
189,8,189,7
190,6,190,3
191,8,191,7
192,4,192,5
193,6,193,6
194,0,194,0
195,2,195,3
196,2,196,0
197,2,197,5
198,0,198,1
199,0,199,1
200,5,200,0
201,1,201,2
202,1,202,0
203,2,203,2
204,0,204,2
205,1,205,0
206,1,206,2
207,3,207,1
208,1,208,0
209,0,209,1
210,1,210,1
211,1,211,0
212,0,212,1
213,0,213,0
214,2,214,0
215,0,215,2
216,1,216,0
217,2,217,0
218,0,218,0
219,0,219,0
220,0,220,0
221,1,221,0
222,0,222,0
223,1,223,1
224,1,224,0
225,0,225,0
226,3,226,1
227,2,227,3
228,1,228,0
229,0,229,0
230,1,230,2
231,1,231,2
232,2,232,1
233,0,233,0
234,2,234,2
235,1,235,0
236,0,236,1
237,1,237,0
238,1,238,0
239,0,239,2
240,0,240,0
241,0,241,1
242,0,242,0
243,0,243,1
244,0,244,0
245,1,245,0
246,0,246,0
247,1,247,0
248,0,248,0
249,1,249,0
250,0,250,0
251,1,251,0
252,2,252,0
253,1,253,1
254,0,254,0
255,6,255,8
