n#1,N#1,n#2,N#2
0,0,0,0
1,18,1,17
2,65,2,72
3,63,3,67
4,83,4,93
5,101,5,104
6,98,6,94
7,110,7,92
8,108,8,131
9,156,9,147
10,159,10,181
11,249,11,220
12,369,12,343
13,388,13,335
14,282,14,282
15,238,15,226
16,229,16,230
17,242,17,198
18,230,18,210
19,233,19,220
20,228,20,216
21,210,21,188
22,226,22,186
23,231,23,201
24,260,24,201
25,229,25,221
26,261,26,231
27,301,27,246
28,354,28,299
29,365,29,258
30,279,30,224
31,208,31,188
32,167,32,138
33,153,33,118
34,122,34,122
35,106,35,103
36,113,36,95
37,87,37,107
38,98,38,106
39,76,39,69
40,85,40,74
41,70,41,90
42,78,42,72
43,69,43,67
44,72,44,74
45,61,45,57
46,69,46,70
47,71,47,60
48,74,48,65
49,80,49,56
50,66,50,66
51,69,51,51
52,63,52,67
53,54,53,60
54,54,54,59
55,69,55,65
56,73,56,58
57,59,57,53
58,45,58,58
59,52,59,54
60,49,60,56
61,55,61,58
62,43,62,52
63,40,63,47
64,50,64,55
65,44,65,48
66,49,66,41
67,45,67,62
68,46,68,41
69,52,69,52
70,34,70,41
71,53,71,42
72,53,72,51
73,58,73,53
74,45,74,44
75,47,75,31
76,40,76,38
77,60,77,44
78,51,78,47
79,44,79,61
80,49,80,60
81,44,81,57
82,58,82,52
83,63,83,50
84,41,84,54
85,42,85,43
86,52,86,48
87,51,87,60
88,76,88,61
89,83,89,82
90,76,90,88
91,86,91,89
92,57,92,65
93,54,93,50
94,55,94,37
95,32,95,23
96,18,96,26
97,9,97,21
98,13,98,11
99,16,99,17
100,15,100,21
101,18,101,23
102,16,102,10
103,14,103,15
104,13,104,15
105,10,105,20
106,9,106,16
107,9,107,14
108,10,108,13
109,18,109,13
110,16,110,14
111,9,111,11
112,7,112,12
113,12,113,6
114,12,114,12
115,20,115,13
116,4,116,17
117,15,117,15
118,14,118,10
119,18,119,16
120,11,120,17
121,14,121,9
122,9,122,12
123,11,123,10
124,12,124,16
125,10,125,14
126,13,126,9
127,9,127,8
128,11,128,9
129,15,129,5
130,8,130,6
131,12,131,8
132,13,132,9
133,10,133,9
134,9,134,17
135,11,135,8
136,12,136,6
137,4,137,8
138,10,138,8
139,8,139,11
140,12,140,8
141,9,141,9
142,8,142,10
143,9,143,10
144,9,144,10
145,9,145,10
146,9,146,9
147,11,147,9
148,8,148,8
149,11,149,15
150,4,150,9
151,11,151,7
152,6,152,9
153,10,153,7
154,12,154,6
155,13,155,9
156,8,156,7
157,14,157,7
158,7,158,9
159,7,159,9
160,9,160,8
161,8,161,4
162,5,162,6
163,12,163,9
164,3,164,5
165,5,165,3
166,4,166,8
167,10,167,3
168,1,168,6
169,2,169,2
170,4,170,6
171,5,171,4
172,4,172,3
173,5,173,5
174,3,174,2
175,1,175,1
176,5,176,6
177,2,177,3
178,2,178,4
179,2,179,4
180,3,180,6
181,5,181,5
182,5,182,4
183,4,183,4
184,7,184,8
185,8,185,5
186,13,186,7
187,10,187,12
188,5,188,8
189,9,189,9
190,11,190,19
191,11,191,8
192,16,192,15
193,9,193,8
194,9,194,9
195,3,195,4
196,6,196,1
197,5,197,2
198,8,198,4
199,2,199,0
200,6,200,4
201,2,201,0
202,1,202,3
203,2,203,4
204,0,204,5
205,2,205,1
206,2,206,2
207,2,207,4
208,1,208,6
209,1,209,1
210,0,210,4
211,3,211,4
212,4,212,0
213,1,213,1
214,1,214,2
215,5,215,2
216,4,216,0
217,2,217,2
218,0,218,4
219,0,219,2
220,0,220,2
221,5,221,1
222,2,222,2
223,3,223,2
224,2,224,3
225,0,225,2
226,4,226,2
227,2,227,3
228,1,228,2
229,1,229,2
230,4,230,2
231,1,231,4
232,3,232,1
233,1,233,0
234,2,234,1
235,1,235,1
236,1,236,2
237,1,237,1
238,0,238,1
239,1,239,1
240,1,240,0
241,2,241,1
242,1,242,2
243,0,243,2
244,1,244,0
245,2,245,1
246,1,246,1
247,1,247,0
248,0,248,2
249,1,249,1
250,2,250,2
251,1,251,2
252,2,252,0
253,3,253,1
254,2,254,2
255,21,255,10
