n#1,N#1,n#2,N#2
0,0,0,0
1,12,1,14
2,41,2,43
3,50,3,35
4,62,4,58
5,89,5,83
6,65,6,64
7,77,7,92
8,90,8,84
9,115,9,96
10,118,10,126
11,195,11,180
12,373,12,342
13,322,13,335
14,248,14,223
15,193,15,221
16,182,16,179
17,156,17,173
18,150,18,174
19,178,19,158
20,167,20,194
21,183,21,147
22,173,22,151
23,177,23,151
24,170,24,145
25,162,25,127
26,145,26,126
27,158,27,132
28,182,28,137
29,205,29,194
30,255,30,192
31,219,31,153
32,232,32,156
33,190,33,119
34,139,34,126
35,95,35,97
36,92,36,73
37,77,37,60
38,73,38,70
39,66,39,56
40,63,40,66
41,43,41,53
42,52,42,47
43,43,43,41
44,34,44,42
45,48,45,43
46,39,46,38
47,46,47,40
48,32,48,35
49,39,49,27
50,42,50,37
51,35,51,37
52,24,52,32
53,35,53,32
54,32,54,30
55,17,55,25
56,24,56,30
57,37,57,28
58,26,58,30
59,31,59,28
60,34,60,28
61,35,61,21
62,23,62,31
63,33,63,23
64,24,64,19
65,24,65,29
66,24,66,13
67,30,67,24
68,31,68,29
69,22,69,23
70,28,70,28
71,22,71,34
72,31,72,21
73,26,73,24
74,19,74,23
75,15,75,15
76,22,76,13
77,14,77,14
78,19,78,16
79,24,79,22
80,24,80,20
81,25,81,33
82,16,82,20
83,17,83,15
84,18,84,16
85,18,85,22
86,24,86,16
87,20,87,22
88,18,88,17
89,11,89,21
90,14,90,20
91,19,91,9
92,12,92,23
93,21,93,8
94,15,94,12
95,17,95,17
96,11,96,22
97,15,97,9
98,12,98,10
99,12,99,18
100,14,100,12
101,15,101,17
102,11,102,15
103,14,103,7
104,5,104,9
105,15,105,9
106,13,106,12
107,10,107,11
108,15,108,13
109,12,109,12
110,17,110,4
111,12,111,12
112,13,112,15
113,19,113,10
114,12,114,5
115,7,115,10
116,10,116,14
117,19,117,11
118,10,118,15
119,8,119,8
120,14,120,8
121,12,121,10
122,4,122,15
123,10,123,12
124,8,124,12
125,11,125,15
126,9,126,13
127,6,127,12
128,6,128,11
129,14,129,10
130,15,130,11
131,14,131,11
132,6,132,10
133,12,133,12
134,7,134,14
135,10,135,11
136,6,136,5
137,10,137,5
138,9,138,7
139,7,139,5
140,4,140,7
141,10,141,7
142,7,142,11
143,9,143,10
144,8,144,9
145,16,145,3
146,6,146,5
147,3,147,5
148,9,148,14
149,7,149,10
150,6,150,7
151,5,151,6
152,1,152,10
153,5,153,5
154,10,154,10
155,5,155,4
156,6,156,9
157,6,157,6
158,3,158,4
159,9,159,10
160,9,160,6
161,7,161,3
162,5,162,4
163,4,163,6
164,4,164,7
165,5,165,3
166,4,166,4
167,3,167,6
168,3,168,4
169,3,169,5
170,3,170,2
171,3,171,6
172,6,172,5
173,5,173,5
174,3,174,5
175,3,175,2
176,4,176,2
177,5,177,1
178,3,178,2
179,5,179,1
180,5,180,6
181,4,181,5
182,10,182,3
183,7,183,6
184,5,184,7
185,5,185,8
186,10,186,8
187,12,187,8
188,9,188,13
189,12,189,9
190,10,190,11
191,15,191,10
192,6,192,9
193,6,193,5
194,5,194,7
195,2,195,3
196,3,196,3
197,3,197,0
198,3,198,6
199,1,199,1
200,3,200,2
201,2,201,1
202,4,202,2
203,5,203,0
204,0,204,2
205,5,205,3
206,5,206,2
207,2,207,1
208,1,208,5
209,3,209,2
210,1,210,0
211,2,211,0
212,1,212,1
213,2,213,1
214,2,214,2
215,2,215,2
216,3,216,1
217,1,217,3
218,2,218,2
219,2,219,1
220,1,220,0
221,1,221,3
222,0,222,2
223,5,223,2
224,4,224,3
225,0,225,1
226,4,226,5
227,2,227,2
228,0,228,0
229,5,229,0
230,0,230,0
231,2,231,1
232,0,232,2
233,2,233,2
234,2,234,1
235,2,235,0
236,0,236,0
237,3,237,1
238,1,238,3
239,0,239,1
240,2,240,2
241,0,241,0
242,1,242,0
243,2,243,1
244,1,244,0
245,2,245,0
246,1,246,2
247,0,247,0
248,1,248,0
249,1,249,0
250,1,250,2
251,0,251,0
252,0,252,2
253,1,253,0
254,0,254,1
255,23,255,21
