n#1,N#1,n#2,N#2
0,0,0,0
1,101,1,184
2,314,2,451
3,365,3,530
4,447,4,678
5,506,5,1758
6,493,6,1689
7,568,7,877
8,589,8,861
9,629,9,837
10,647,10,848
11,787,11,1044
12,1153,12,1517
13,1044,13,1389
14,864,14,1143
15,749,15,957
16,695,16,916
17,713,17,901
18,715,18,929
19,679,19,909
20,678,20,996
21,722,21,926
22,650,22,962
23,700,23,978
24,735,24,984
25,754,25,951
26,811,26,1058
27,821,27,1144
28,824,28,1187
29,847,29,1125
30,784,30,1087
31,736,31,1124
32,755,32,1019
33,754,33,963
34,715,34,952
35,745,35,970
36,708,36,1003
37,734,37,901
38,697,38,903
39,666,39,915
40,700,40,965
41,647,41,947
42,661,42,905
43,657,43,864
44,698,44,954
45,696,45,843
46,682,46,907
47,693,47,858
48,717,48,967
49,663,49,924
50,667,50,917
51,685,51,929
52,686,52,989
53,712,53,967
54,709,54,911
55,694,55,974
56,696,56,981
57,711,57,963
58,713,58,917
59,692,59,995
60,721,60,965
61,682,61,928
62,700,62,926
63,616,63,868
64,598,64,769
65,517,65,696
66,467,66,651
67,393,67,539
68,380,68,534
69,366,69,511
70,334,70,462
71,330,71,452
72,327,72,429
73,269,73,411
74,336,74,391
75,281,75,387
76,307,76,360
77,303,77,346
78,272,78,356
79,282,79,346
80,289,80,364
81,273,81,351
82,261,82,354
83,352,83,390
84,461,84,505
85,687,85,840
86,1085,86,1308
87,1787,87,2209
88,2437,88,3076
89,3193,89,4104
90,3533,90,4858
91,3563,91,5100
92,2940,92,4538
93,2158,93,3346
94,1428,94,2209
95,770,95,1315
96,360,96,656
97,127,97,288
98,73,98,99
99,13,99,37
100,11,100,14
101,6,101,4
102,7,102,11
103,7,103,5
104,6,104,9
105,7,105,4
106,3,106,5
107,4,107,3
108,7,108,8
109,2,109,3
110,3,110,4
111,4,111,1
112,8,112,2
113,6,113,4
114,7,114,8
115,6,115,6
116,8,116,6
117,4,117,3
118,2,118,2
119,6,119,5
120,2,120,7
121,6,121,5
122,8,122,4
123,3,123,3
124,4,124,2
125,6,125,5
126,2,126,2
127,4,127,1
128,5,128,6
129,2,129,3
130,5,130,3
131,2,131,2
132,0,132,4
133,4,133,4
134,3,134,2
135,2,135,3
136,3,136,2
137,3,137,4
138,1,138,4
139,2,139,7
140,2,140,2
141,3,141,0
142,4,142,0
143,3,143,7
144,2,144,1
145,2,145,6
146,2,146,6
147,4,147,10
148,4,148,1
149,5,149,2
150,1,150,2
151,2,151,4
152,0,152,4
153,3,153,2
154,0,154,1
155,4,155,2
156,5,156,4
157,2,157,8
158,2,158,3
159,3,159,3
160,3,160,1
161,2,161,0
162,5,162,0
163,1,163,3
164,1,164,1
165,3,165,3
166,2,166,1
167,0,167,0
168,1,168,3
169,0,169,1
170,0,170,1
171,3,171,1
172,0,172,1
173,3,173,1
174,1,174,2
175,0,175,0
176,0,176,0
177,2,177,0
178,3,178,1
179,1,179,2
180,4,180,3
181,0,181,1
182,3,182,3
183,0,183,0
184,7,184,4
185,4,185,2
186,3,186,2
187,3,187,1
188,3,188,2
189,5,189,3
190,7,190,3
191,5,191,2
192,2,192,4
193,2,193,1
194,4,194,2
195,0,195,1
196,1,196,4
197,2,197,2
198,1,198,0
199,0,199,1
200,0,200,0
201,0,201,0
202,0,202,1
203,2,203,1
204,1,204,1
205,1,205,0
206,0,206,2
207,1,207,0
208,3,208,0
209,0,209,1
210,0,210,1
211,0,211,1
212,1,212,1
213,1,213,1
214,0,214,0
215,0,215,0
216,0,216,0
217,1,217,0
218,0,218,1
219,0,219,4
220,0,220,0
221,0,221,1
222,0,222,1
223,0,223,0
224,2,224,0
225,1,225,0
226,0,226,0
227,1,227,1
228,0,228,1
229,0,229,0
230,0,230,0
231,1,231,0
232,0,232,0
233,0,233,0
234,1,234,0
235,0,235,0
236,0,236,0
237,0,237,0
238,0,238,1
239,0,239,1
240,0,240,0
241,0,241,1
242,0,242,0
243,0,243,2
244,0,244,1
245,0,245,0
246,1,246,2
247,0,247,0
248,4,248,0
249,1,249,1
250,0,250,1
251,1,251,0
252,0,252,0
253,0,253,0
254,1,254,0
255,9,255,7
