n#1,N#1,n#2,N#2
0,0,0,0
1,11,1,13
2,43,2,40
3,42,3,47
4,55,4,64
5,73,5,66
6,84,6,85
7,83,7,79
8,93,8,75
9,111,9,85
10,121,10,134
11,185,11,194
12,371,12,337
13,279,13,297
14,251,14,242
15,180,15,204
16,187,16,180
17,172,17,153
18,177,18,175
19,174,19,160
20,176,20,176
21,168,21,164
22,140,22,160
23,134,23,121
24,142,24,135
25,131,25,121
26,121,26,114
27,140,27,126
28,110,28,118
29,133,29,103
30,124,30,113
31,118,31,135
32,168,32,156
33,142,33,160
34,174,34,161
35,192,35,122
36,150,36,106
37,157,37,80
38,124,38,86
39,116,39,84
40,95,40,63
41,78,41,92
42,60,42,58
43,75,43,61
44,64,44,45
45,52,45,47
46,62,46,40
47,52,47,42
48,45,48,39
49,41,49,43
50,35,50,40
51,33,51,32
52,33,52,47
53,42,53,35
54,43,54,40
55,45,55,27
56,33,56,38
57,36,57,31
58,31,58,37
59,40,59,31
60,35,60,35
61,33,61,33
62,28,62,30
63,32,63,26
64,25,64,42
65,27,65,32
66,32,66,27
67,23,67,21
68,25,68,37
69,33,69,34
70,32,70,33
71,25,71,31
72,29,72,27
73,24,73,25
74,28,74,18
75,28,75,23
76,25,76,22
77,15,77,26
78,25,78,17
79,25,79,18
80,25,80,19
81,21,81,26
82,36,82,19
83,33,83,18
84,15,84,19
85,22,85,16
86,20,86,18
87,14,87,19
88,27,88,31
89,25,89,16
90,17,90,21
91,10,91,23
92,8,92,33
93,8,93,18
94,30,94,16
95,12,95,14
96,11,96,19
97,10,97,13
98,17,98,13
99,17,99,15
100,19,100,7
101,15,101,15
102,14,102,8
103,12,103,10
104,18,104,6
105,9,105,20
106,14,106,14
107,14,107,11
108,13,108,5
109,13,109,13
110,10,110,10
111,8,111,15
112,14,112,9
113,13,113,13
114,9,114,14
115,9,115,11
116,11,116,7
117,10,117,15
118,15,118,6
119,10,119,7
120,10,120,9
121,12,121,7
122,8,122,9
123,12,123,11
124,14,124,15
125,14,125,14
126,7,126,10
127,10,127,9
128,8,128,12
129,12,129,13
130,14,130,8
131,10,131,15
132,9,132,12
133,8,133,1
134,6,134,4
135,14,135,4
136,10,136,9
137,12,137,8
138,3,138,8
139,7,139,9
140,10,140,4
141,5,141,6
142,10,142,11
143,3,143,8
144,8,144,9
145,7,145,13
146,15,146,7
147,5,147,5
148,6,148,14
149,6,149,11
150,4,150,6
151,5,151,6
152,3,152,5
153,7,153,10
154,6,154,9
155,4,155,6
156,11,156,4
157,10,157,3
158,4,158,5
159,0,159,4
160,7,160,15
161,5,161,2
162,8,162,8
163,6,163,4
164,3,164,7
165,5,165,4
166,10,166,6
167,4,167,4
168,4,168,5
169,5,169,4
170,3,170,6
171,4,171,6
172,5,172,4
173,5,173,4
174,3,174,3
175,7,175,5
176,0,176,3
177,2,177,2
178,4,178,3
179,8,179,4
180,3,180,5
181,1,181,4
182,4,182,4
183,5,183,4
184,8,184,10
185,9,185,12
186,8,186,9
187,14,187,13
188,10,188,8
189,16,189,11
190,9,190,14
191,15,191,14
192,11,192,10
193,5,193,8
194,8,194,8
195,1,195,4
196,2,196,5
197,0,197,1
198,2,198,3
199,2,199,6
200,2,200,2
201,0,201,0
202,1,202,3
203,3,203,2
204,1,204,2
205,1,205,3
206,0,206,2
207,2,207,4
208,1,208,2
209,2,209,0
210,3,210,0
211,3,211,1
212,1,212,3
213,0,213,1
214,2,214,2
215,4,215,4
216,3,216,1
217,0,217,2
218,1,218,2
219,3,219,0
220,2,220,0
221,1,221,3
222,3,222,1
223,3,223,1
224,0,224,3
225,1,225,2
226,0,226,3
227,0,227,2
228,1,228,1
229,1,229,1
230,2,230,4
231,2,231,5
232,3,232,1
233,1,233,2
234,1,234,0
235,2,235,1
236,1,236,1
237,0,237,1
238,1,238,2
239,3,239,1
240,1,240,0
241,0,241,1
242,0,242,0
243,2,243,1
244,1,244,0
245,0,245,0
246,0,246,0
247,0,247,0
248,0,248,0
249,2,249,1
250,0,250,0
251,0,251,0
252,2,252,2
253,3,253,0
254,0,254,0
255,17,255,16
