n#1,N#1,n#2,N#2
0,0,0,0
1,23,1,18
2,55,2,51
3,50,3,50
4,61,4,56
5,81,5,61
6,80,6,72
7,101,7,85
8,92,8,98
9,92,9,100
10,100,10,97
11,172,11,135
12,238,12,221
13,205,13,195
14,193,14,169
15,122,15,127
16,145,16,117
17,144,17,104
18,134,18,126
19,137,19,114
20,143,20,137
21,139,21,108
22,143,22,139
23,106,23,102
24,132,24,97
25,123,25,128
26,116,26,118
27,110,27,122
28,123,28,120
29,126,29,119
30,124,30,103
31,101,31,95
32,90,32,91
33,98,33,92
34,87,34,101
35,76,35,87
36,74,36,84
37,109,37,82
38,88,38,69
39,103,39,99
40,80,40,90
41,79,41,100
42,96,42,79
43,82,43,78
44,106,44,96
45,101,45,79
46,74,46,62
47,92,47,59
48,89,48,68
49,95,49,78
50,77,50,77
51,79,51,86
52,76,52,91
53,86,53,73
54,89,54,88
55,91,55,71
56,107,56,82
57,105,57,80
58,94,58,97
59,102,59,107
60,105,60,100
61,95,61,87
62,107,62,84
63,86,63,78
64,89,64,98
65,107,65,98
66,68,66,93
67,103,67,77
68,94,68,76
69,65,69,73
70,71,70,81
71,52,71,44
72,62,72,59
73,49,73,61
74,56,74,58
75,53,75,35
76,60,76,44
77,40,77,27
78,71,78,52
79,73,79,47
80,62,80,36
81,68,81,46
82,58,82,48
83,73,83,26
84,80,84,29
85,80,85,45
86,72,86,73
87,113,87,85
88,149,88,127
89,188,89,172
90,218,90,182
91,213,91,191
92,194,92,194
93,145,93,159
94,123,94,133
95,62,95,58
96,38,96,29
97,21,97,26
98,15,98,6
99,8,99,5
100,6,100,4
101,5,101,5
102,4,102,6
103,4,103,2
104,4,104,2
105,5,105,5
106,2,106,2
107,4,107,5
108,3,108,3
109,7,109,4
110,1,110,8
111,2,111,6
112,9,112,1
113,4,113,3
114,6,114,3
115,4,115,3
116,6,116,5
117,8,117,6
118,8,118,1
119,4,119,5
120,2,120,3
121,5,121,3
122,9,122,5
123,5,123,5
124,5,124,3
125,8,125,3
126,0,126,3
127,8,127,3
128,3,128,7
129,4,129,4
130,4,130,3
131,3,131,1
132,3,132,2
133,3,133,2
134,3,134,1
135,1,135,3
136,2,136,3
137,0,137,4
138,2,138,2
139,5,139,4
140,6,140,7
141,3,141,5
142,6,142,4
143,1,143,3
144,2,144,3
145,1,145,4
146,3,146,3
147,7,147,2
148,2,148,2
149,3,149,3
150,5,150,2
151,3,151,3
152,3,152,1
153,4,153,4
154,2,154,0
155,2,155,2
156,6,156,4
157,1,157,2
158,7,158,1
159,2,159,2
160,1,160,3
161,0,161,2
162,2,162,2
163,2,163,2
164,2,164,3
165,1,165,2
166,1,166,2
167,3,167,2
168,2,168,0
169,1,169,1
170,0,170,2
171,1,171,1
172,1,172,3
173,0,173,2
174,1,174,0
175,1,175,1
176,0,176,4
177,4,177,1
178,1,178,0
179,2,179,2
180,0,180,1
181,2,181,2
182,2,182,0
183,2,183,0
184,5,184,2
185,3,185,4
186,3,186,2
187,8,187,2
188,5,188,3
189,2,189,6
190,2,190,3
191,3,191,0
192,10,192,6
193,4,193,2
194,1,194,3
195,3,195,0
196,0,196,3
197,1,197,1
198,2,198,0
199,0,199,1
200,3,200,2
201,2,201,2
202,0,202,1
203,0,203,0
204,0,204,2
205,0,205,2
206,1,206,1
207,1,207,0
208,1,208,0
209,0,209,3
210,0,210,1
211,0,211,1
212,0,212,3
213,0,213,0
214,1,214,1
215,0,215,0
216,0,216,0
217,0,217,2
218,0,218,0
219,2,219,1
220,1,220,1
221,2,221,1
222,0,222,0
223,1,223,0
224,1,224,1
225,3,225,0
226,1,226,0
227,1,227,0
228,1,228,0
229,1,229,1
230,1,230,2
231,0,231,0
232,2,232,2
233,1,233,1
234,3,234,0
235,0,235,0
236,0,236,1
237,1,237,0
238,0,238,0
239,1,239,0
240,0,240,0
241,1,241,1
242,0,242,0
243,1,243,1
244,0,244,0
245,2,245,0
246,0,246,0
247,0,247,0
248,0,248,1
249,0,249,0
250,0,250,0
251,0,251,1
252,0,252,0
253,0,253,0
254,0,254,0
255,8,255,4
