n#1,N#1,n#2,N#2
0,0,0,0
1,9,1,12
2,27,2,23
3,30,3,31
4,41,4,43
5,41,5,37
6,52,6,35
7,50,7,39
8,61,8,49
9,55,9,60
10,67,10,81
11,100,11,92
12,171,12,154
13,164,13,117
14,125,14,110
15,106,15,90
16,94,16,83
17,98,17,81
18,94,18,85
19,88,19,87
20,93,20,90
21,77,21,77
22,85,22,65
23,69,23,51
24,72,24,51
25,61,25,50
26,70,26,64
27,75,27,57
28,56,28,54
29,65,29,49
30,52,30,38
31,43,31,49
32,71,32,42
33,42,33,40
34,62,34,45
35,38,35,41
36,47,36,32
37,51,37,40
38,45,38,45
39,40,39,40
40,42,40,34
41,47,41,38
42,51,42,42
43,45,43,45
44,46,44,42
45,47,45,31
46,44,46,48
47,48,47,34
48,37,48,39
49,41,49,32
50,41,50,46
51,50,51,34
52,42,52,45
53,45,53,51
54,39,54,46
55,53,55,56
56,53,56,53
57,47,57,60
58,39,58,43
59,41,59,41
60,38,60,49
61,47,61,48
62,44,62,38
63,45,63,21
64,42,64,21
65,35,65,23
66,46,66,19
67,40,67,23
68,52,68,30
69,36,69,19
70,52,70,16
71,25,71,26
72,30,72,19
73,34,73,20
74,35,74,23
75,17,75,21
76,22,76,14
77,27,77,19
78,28,78,16
79,24,79,16
80,15,80,20
81,26,81,23
82,25,82,24
83,14,83,20
84,20,84,27
85,26,85,19
86,27,86,25
87,34,87,25
88,28,88,43
89,47,89,50
90,49,90,39
91,40,91,33
92,42,92,41
93,25,93,29
94,21,94,14
95,12,95,17
96,4,96,10
97,8,97,7
98,5,98,4
99,6,99,2
100,2,100,3
101,8,101,1
102,6,102,3
103,7,103,4
104,3,104,8
105,3,105,3
106,9,106,7
107,3,107,3
108,6,108,4
109,3,109,3
110,5,110,6
111,4,111,1
112,4,112,1
113,9,113,9
114,1,114,2
115,4,115,6
116,4,116,6
117,5,117,2
118,3,118,5
119,3,119,2
120,2,120,3
121,3,121,2
122,5,122,1
123,8,123,4
124,5,124,2
125,8,125,3
126,2,126,3
127,3,127,5
128,6,128,3
129,1,129,2
130,3,130,3
131,3,131,4
132,2,132,4
133,2,133,3
134,1,134,6
135,4,135,2
136,2,136,6
137,4,137,3
138,3,138,2
139,3,139,3
140,2,140,6
141,3,141,2
142,2,142,3
143,1,143,0
144,3,144,3
145,1,145,8
146,6,146,1
147,2,147,2
148,4,148,3
149,2,149,1
150,3,150,4
151,4,151,3
152,2,152,2
153,5,153,1
154,3,154,2
155,2,155,4
156,1,156,3
157,4,157,2
158,3,158,5
159,2,159,1
160,8,160,3
161,1,161,2
162,4,162,0
163,2,163,4
164,4,164,3
165,3,165,5
166,1,166,2
167,2,167,1
168,2,168,4
169,1,169,1
170,2,170,2
171,0,171,2
172,1,172,1
173,4,173,0
174,1,174,1
175,1,175,1
176,2,176,1
177,0,177,2
178,1,178,1
179,0,179,3
180,0,180,0
181,3,181,2
182,3,182,3
183,2,183,5
184,3,184,1
185,3,185,5
186,1,186,3
187,4,187,3
188,5,188,4
189,2,189,6
190,8,190,2
191,6,191,5
192,5,192,2
193,2,193,6
194,0,194,3
195,0,195,2
196,2,196,1
197,1,197,1
198,1,198,1
199,0,199,1
200,0,200,0
201,1,201,2
202,3,202,0
203,1,203,0
204,0,204,1
205,2,205,0
206,0,206,1
207,0,207,2
208,1,208,1
209,2,209,3
210,0,210,1
211,1,211,1
212,0,212,1
213,0,213,1
214,1,214,0
215,1,215,0
216,1,216,1
217,0,217,3
218,0,218,0
219,1,219,0
220,2,220,0
221,1,221,1
222,0,222,1
223,1,223,0
224,0,224,2
225,1,225,0
226,0,226,0
227,0,227,0
228,0,228,1
229,0,229,0
230,1,230,0
231,0,231,0
232,0,232,0
233,0,233,0
234,0,234,0
235,1,235,1
236,0,236,0
237,0,237,0
238,0,238,0
239,1,239,1
240,0,240,0
241,0,241,1
242,1,242,0
243,1,243,2
244,0,244,0
245,0,245,0
246,2,246,1
247,1,247,0
248,0,248,0
249,0,249,0
250,0,250,0
251,0,251,0
252,0,252,1
253,0,253,1
254,0,254,0
255,6,255,4
